source_assetgroup,source_equipmenttype,source_manufacturer,source_model,source_count,canonical_key,eng_manufacturer,eng_model,eng_equipmenttype,eng_assetgroup,eng_idprefix,eng_isserialised,eng_identifiertype,eng_defaultcalintervalmonths,correction_note
Geotechnical Monitoring,,Campbell Scientific,VWANALZYER,1,vwr-campbell,Campbell Scientific,VW-Analyzer,VWReadout,GeotechnicalMonitoring,VWR,Yes,Serial,24.0,Misspelling of 'VW-Analyzer'; merged into that canonical row.
Geotechnical Monitoring,,Encardio Rite,EDI-54V,2,vwr-encardio-edi54v,Encardio Rite,EDI-54V,VWReadout,GeotechnicalMonitoring,VWR,Yes,Serial,24.0,Equipment type was blank in source; set to VWReadout. Interval best judgement.
Geotechnical Monitoring,,Encardio Rite,,1,vwr-encardio-unspecified,Encardio Rite,Unspecified — needs field confirmation,VWReadout,GeotechnicalMonitoring,VWR,Yes,Serial,24.0,"Model was blank in source (only a serial, E-1808021). Kept as its own row rather than guessing it is the same as EDI-54V — the serial format doesn't clearly match. Flagged for field confirmation of the actual model."
Geotechnical Monitoring,,Loadsensing,,2,mems-loadsensing-unspecified,Loadsensing,Unspecified — needs field confirmation,MEMSSensor,GeotechnicalMonitoring,LS,Yes,Serial,24.0,"Model was blank in source. Loadsensing's product line is wireless MEMS-based geotechnical sensors, so classified MEMSSensor as best judgement — flagged for field confirmation. New prefix LS assigned (none existed)."
Geotechnical Monitoring,,Measurand,SAAX,2,tilt-measurand-saax,Measurand,SAAX,TiltSensor,GeotechnicalMonitoring,SAA,Yes,Serial,24.0,Equipment type was blank in source. SAAX (ShapeArray) is a borehole deformation/tilt string — TiltSensor is the closest curated type. New prefix SAA assigned (none existed). Interval best judgement.
Geotechnical Monitoring,,RST,,3,vwr-rst-unspecified,RST,Unspecified — needs field confirmation (serial prefix 'DR'),VWReadout,GeotechnicalMonitoring,VWR,Yes,Serial,24.0,"Model was blank in source (serials DR1921, DR3409, DR3320). Classified as VWReadout, RST's main product line, as best judgement — flagged for field confirmation of the exact model."
Geotechnical Monitoring,,RST,MEMS Digital,4,mems-rst-digital,RST,MEMS Digital,MEMSSensor,GeotechnicalMonitoring,MEMS,Yes,Serial,24.0,Equipment type was blank in source; the model name names the type exactly (MEMSSensor). New prefix MEMS assigned (source draft left this blank). Interval best judgement.
Geotechnical Monitoring,,RST,Model 23600,2,vwr-rst-23600,RST,Model 23600,VWReadout,GeotechnicalMonitoring,VWR,Yes,Serial,24.0,Equipment type was blank in source; classified VWReadout as best judgement. Interval best judgement.
Geotechnical Monitoring,,RST,Reel,1,acc-rst-reel,RST,Reel,Other,GeotechnicalMonitoring,ACC,Yes,Serial,,"A cable reel accessory, not a sensor — classified Other, not calibrated. New prefix ACC assigned for accessories (none existed). NOTE: this row's serial (DP2732, Waterloo) is identical to one 'RST MEMS Digital' row's serial at the same office — flagged in 02_conflicts.md for field confirmation of whether this is the same physical item entered twice or a genuinely separate reel that shares a data logger's serial by coincidence; not auto-merged given the different model text."
Geotechnical Monitoring,,Slope Indicator,EL Tilt Sensor,3,tilt-slopeindicator-el,Slope Indicator,EL Tilt Sensor,TiltSensor,GeotechnicalMonitoring,TLT,Yes,Serial,24.0,Equipment type was blank in source; the model name states the type (TiltSensor). Merged with the lowercase 'Slope indicator' variant below (manufacturer capitalization only).
Geotechnical Monitoring,,Slope Indicator,VWP,1,vwr-slopeindicator-vwp,Slope Indicator,VWP,VWReadout,GeotechnicalMonitoring,TLT,Yes,Serial,24.0,Equipment type was blank in source; VWP (vibrating wire piezometer) classified VWReadout. Prefix kept as TLT to match the existing physical tags (TLT-006) rather than inventing a new prefix for one asset — source already grouped this manufacturer's instruments under one prefix regardless of sub-type. Merged with the lowercase variant below.
Geotechnical Monitoring,,Slope indicator,EL Tilt Sensor,1,tilt-slopeindicator-el,Slope Indicator,EL Tilt Sensor,TiltSensor,GeotechnicalMonitoring,TLT,Yes,Serial,24.0,Manufacturer capitalization corrected ('Slope indicator' → 'Slope Indicator'); merged into the canonical row above.
Geotechnical Monitoring,,Slope indicator,VWP,1,vwr-slopeindicator-vwp,Slope Indicator,VWP,VWReadout,GeotechnicalMonitoring,TLT,Yes,Serial,24.0,Manufacturer capitalization corrected; merged into the canonical row above.
Imaging,HD Camera,GoPro,Black 12,1,cam-gopro-black12,GoPro,Black 12,HDCamera,Imaging,GoPro,Yes,Serial,,No correction needed. Not calibrated.
Imaging,HD Camera,GoPro,Black 7,1,cam-gopro-black7,GoPro,Black 7,HDCamera,Imaging,GoPro,Yes,Serial,,No correction needed. Not calibrated.
Imaging,HD Camera,GoPro,White 7,2,cam-gopro-white7,GoPro,White 7,HDCamera,Imaging,GoPro,Yes,Serial,,No correction needed. Not calibrated.
Imaging,HD Camera,Sony,AX-700,2,cam-sony-ax700,Sony,AX-700,HDCamera,Imaging,CAM,Yes,Serial,,No correction needed. Not calibrated.
Imaging,HD Camera,Sony,CoolPix L32,1,cam-sony-coolpixl32,Sony,CoolPix L32,HDCamera,Imaging,CAM,Yes,Serial,,"No correction needed (CoolPix is actually a Nikon line, not Sony, but the source is consistent and there is only one row — flagged for field confirmation rather than guessed). Not calibrated."
Imaging,HD Camera,Sony,HDR - CX455,1,cam-sony-hdrcx455,Sony,HDR-CX455,HDCamera,Imaging,CAM,Yes,Serial,,Formatting only ('HDR - CX455' → 'HDR-CX455'); merged with the row below.
Imaging,HD Camera,Sony,HDR-CX455,3,cam-sony-hdrcx455,Sony,HDR-CX455,HDCamera,Imaging,CAM,Yes,Serial,,No correction needed. Not calibrated.
Imaging,HD Camera,Sony,HDR-PJ340,2,cam-sony-hdrpj340,Sony,HDR-PJ340,HDCamera,Imaging,CAM,Yes,Serial,,No correction needed. Not calibrated.
Seismographs,Data Logger,Instantel,Micomate,1,dl-instantel-micromate,Instantel,Micromate,DataLogger,Seismographs,DL-UM,Yes,Serial,12.0,Spelling corrected 'Micomate' → 'Micromate'; merged into the canonical Micromate Data Logger row below.
Seismographs,Data Logger,Instantel,Micromate,126,dl-instantel-micromate,Instantel,Micromate,DataLogger,Seismographs,DL-UM,Yes,Serial,12.0,No correction needed.
Seismographs,Data Logger,Instantel,Minimate,8,dl-instantel-minimate,Instantel,Minimate,DataLogger,Seismographs,DL-BE,Yes,Serial,12.0,No correction needed.
Seismographs,Data Logger,Instantel,Minimate Plus,126,dl-instantel-minimateplus,Instantel,Minimate Plus,DataLogger,Seismographs,DL-BE,Yes,Serial,12.0,"No correction needed. Absorbs the 'Sigicom / Minimate Plus' mislabelled row below (1 row, wrong manufacturer — Minimate Plus is an Instantel product; every other Minimate Plus row in the fleet is Instantel)."
Seismographs,Data Logger,Instantel,Minimate Pro4,1,dl-instantel-minimatepro4,Instantel,Minimate Pro4,DataLogger,Seismographs,DL-MP,Yes,Serial,12.0,"No correction needed. Absorbs the 'Minimate Pro / Instantel' swapped-column rows below (6 rows: manufacturer and model were swapped, and 'Minimate Pro4' was truncated to 'Minimate Pro')."
Seismographs,Data Logger,Instantel,V12,1,geo-sigicom-v12,Sigicom,V12,Geophone,Seismographs,GEO-V12,Yes,Serial,12.0,"Manufacturer corrected Instantel → Sigicom (V12 is a Sigicom product; Instantel does not make a V12) and equipment type corrected Data Logger → Geophone — the row's own Asset ID (GEO-V12-32700) already used the Geophone prefix, contradicting its own Equipment Type column. Merged into the canonical Sigicom V12 Geophone row."
Seismographs,Data Logger,Minimate Pro,Instantel,6,dl-instantel-minimatepro4,Instantel,Minimate Pro4,DataLogger,Seismographs,DL-MP,Yes,Serial,12.0,"Manufacturer and model columns were swapped ('Minimate Pro' in Manufacturer, 'Instantel' in Model). Corrected and merged into the canonical Instantel Minimate Pro4 row above. One of these 6 rows (DL-MP-13332) is also one of the 8 same-asset-in-two-offices duplicates — see 02_conflicts.md."
Seismographs,Data Logger,Sigicom,C22,2,geo-sigicom-c22,Sigicom,C22,Geophone,Seismographs,GEO-C22,Yes,Serial,12.0,"Equipment type corrected Data Logger → Geophone, the same systemic mislabel Q4 named for V12 (the Asset ID prefix GEO-C22 already implied Geophone). Merged into the canonical Sigicom C22 Geophone row."
Seismographs,Data Logger,Sigicom,D10,37,dl-sigicom-d10,Sigicom,D10,DataLogger,Seismographs,DL-D10,Yes,Serial,12.0,No correction needed.
Seismographs,Data Logger,Sigicom,D10M,22,dl-sigicom-d10m,Sigicom,D10M,DataLogger,Seismographs,DL-D10,Yes,Serial,12.0,"No correction needed. Kept as a distinct catalog row from D10 (hardware revision) though it shares the DL-D10 prefix, matching the source's own numbering."
Seismographs,Data Logger,Sigicom,Minimate Plus,1,dl-instantel-minimateplus,Instantel,Minimate Plus,DataLogger,Seismographs,DL-BE,Yes,Serial,12.0,Manufacturer corrected Sigicom → Instantel (Minimate Plus is an Instantel product). Merged into the canonical Instantel Minimate Plus row above. Confirmed against the sibling row for the same Asset ID/serial family.
Seismographs,Data Logger,Sigicom,S50,3,slm-sigicom-s50,Sigicom,S50,SoundLevelMeter,Seismographs,SLM-S50,Yes,Serial,12.0,"Equipment type corrected Data Logger → SoundLevelMeter (the Asset ID prefix SLM-S50 already implied it, and the S50 is Sigicom's sound level meter, not its data logger). Merged into the canonical Sigicom S50 row below."
Seismographs,Data Logger,Sigicom,V12,4,geo-sigicom-v12,Sigicom,V12,Geophone,Seismographs,GEO-V12,Yes,Serial,12.0,Equipment type corrected Data Logger → Geophone — this is Q4's named example. Merged into the canonical Sigicom V12 Geophone row.
Seismographs,Geohpone,Series IV,Instantel,6,geo-instantel-seriesiv,Instantel,Series IV,Geophone,Seismographs,GEO-SE,Yes,Serial,12.0,"Equipment type spelling corrected 'Geohpone' → 'Geophone'. Manufacturer and model columns were swapped ('Series IV' in Manufacturer, 'Instantel' in Model); corrected to manufacturer Instantel, model Series IV."
Seismographs,Geophone,Instantel,Micromate,124,geo-instantel-micromate,Instantel,Micromate,Geophone,Seismographs,GEO-UM,Yes,Serial,12.0,"No correction needed. This is the Geophone sibling of the Micromate Data Logger above — 132 assets across the fleet legitimately share a serial with a sensor this way; these are two distinct physical assets, not a duplicate (Principle III / FR-014)."
Seismographs,Geophone,Instantel,Series III,76,geo-instantel-seriesiii,Instantel,Series III,Geophone,Seismographs,GEO-BG,Yes,Serial,12.0,"No correction needed. 11 of these 76 rows carry a blank/prefix-only Asset ID ('GEO-') and land on the field-completion queue (FR-032 in feature 002), not a model-catalogue issue."
Seismographs,Geophone,Sigicom,C22,32,geo-sigicom-c22,Sigicom,C22,Geophone,Seismographs,GEO-C22,Yes,Serial,12.0,No correction needed.
Seismographs,Geophone,Sigicom,V12,62,geo-sigicom-v12,Sigicom,V12,Geophone,Seismographs,GEO-V12,Yes,Serial,12.0,No correction needed. This is the canonical row absorbing the four mislabelled 'Data Logger' rows above — 67 assets total once merged.
Seismographs,"Microphone, Sound Level Meter",Instantel,Micromate,4,mic-instantel-micromate,Instantel,Micromate,Microphone,Seismographs,SLM-UA,Yes,Serial,12.0,"Per docs/04-migration.md's own rule (SLM/Micromate mic → Microphone, not SoundLevelMeter): classified Microphone. Merged with the 'SLM' model-text variant below (same accessory, different shorthand)."
Seismographs,"Microphone, Sound Level Meter",Instantel,SLM,6,mic-instantel-micromate,Instantel,Micromate,Microphone,Seismographs,SLM-UA,Yes,Serial,12.0,"Model text 'SLM' is shorthand for the Micromate-family microphone accessory; merged into the canonical row above rather than kept as a separate, unnamed model."
Seismographs,"Microphone, Sound Level Meter",Sigicom,C50,9,slm-sigicom-c50,Sigicom,C50,SoundLevelMeter,Seismographs,SLM-C50,Yes,Serial,12.0,"No correction needed. Per docs/04-migration.md's rule, C50 → SoundLevelMeter."
Seismographs,"Microphone, Sound Level Meter",Sigicom,S50,62,slm-sigicom-s50,Sigicom,S50,SoundLevelMeter,Seismographs,SLM-S50,Yes,Serial,12.0,No correction needed. Canonical row absorbing the three mislabelled 'Data Logger' rows above — 65 assets total once merged.
